"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
1.716844447E0;-1.683599949E0;8.332599640E0;-4.881219864E1;4.954692182E1
1.726844447E0;-1.707999945E0;8.308199883E0;-4.886100006E1;4.959174101E1
1.736844447E0;-1.732399940E0;8.247200012E0;-4.890979767E1;4.963049290E1
1.746844447E0;-1.610399961E0;8.247200012E0;-4.910499954E1;4.981877835E1
1.756844447E0;-1.573799968E0;8.320400238E0;-4.923920059E1;4.996203340E1
1.766844447E0;-1.598199964E0;8.344799995E0;-4.925139999E1;4.997889886E1
1.776844447E0;-1.561599970E0;8.381400108E0;-4.931240082E1;5.004397403E1
1.786844447E0;-1.634799957E0;8.344799995E0;-4.920259857E1;4.993199339E1
1.796844447E0;-1.622599959E0;8.295999527E0;-4.914159775E1;4.986334393E1
1.806844447E0;-1.537199974E0;8.356999397E0;-4.915379715E1;4.988284472E1
1.816844447E0;-1.439599991E0;8.344799995E0;-4.908060074E1;4.980575774E1
1.826844447E0;-1.366400003E0;8.320400238E0;-4.892200089E1;4.964331052E1
1.836844447E0;-1.293200016E0;8.295999527E0;-4.884880066E1;4.956512181E1
1.846844447E0;-1.183400035E0;8.271599770E0;-4.882439804E1;4.953424717E1
1.856844447E0;-1.183400035E0;8.247200012E0;-4.884880066E1;4.955423362E1
1.866844447E0;-1.220000029E0;8.210599899E0;-4.886100006E1;4.956107018E1
1.876844447E0;-1.281000018E0;8.234999657E0;-4.876339722E1;4.947044662E1
1.886844447E0;-1.317600012E0;8.161799431E0;-4.877560043E1;4.947130721E1
1.896844447E0;-1.390799999E0;8.247200012E0;-4.876339722E1;4.947544382E1
1.906844447E0;-1.524999976E0;8.283800125E0;-4.875119781E1;4.947349046E1
1.916844447E0;-1.622599959E0;8.247200012E0;-4.872679901E1;4.944643648E1
1.926844447E0;-1.671399951E0;8.308199883E0;-4.876339722E1;4.949432969E1
1.936844447E0;-1.646999955E0;8.356999397E0;-4.872679901E1;4.946567486E1
1.946844447E0;-1.537199974E0;8.454599380E0;-4.881219864E1;4.956282852E1
1.956844447E0;-1.500599980E0;8.491199493E0;-4.890979767E1;4.966407733E1
1.966844447E0;-1.524999976E0;8.576600075E0;-4.884880066E1;4.961944195E1
1.976844447E0;-1.512799978E0;8.564399719E0;-4.875119781E1;4.952087231E1
1.986844447E0;-1.537199974E0;8.613200188E0;-4.873899841E1;4.951807920E1
1.996844447E0;-1.476199985E0;8.661999702E0;-4.867799759E1;4.946470312E1
2.006844447E0;-1.463999987E0;8.649800301E0;-4.855599976E1;4.934214683E1
2.016844447E0;-1.476199985E0;8.674200058E0;-4.851939774E1;4.931077843E1
2.026844447E0;-1.488399982E0;8.661999702E0;-4.853160095E1;4.932100835E1
2.036844447E0;-1.451799989E0;8.674200058E0;-4.849499893E1;4.928604662E1
2.046844447E0;-1.378600001E0;8.674200058E0;-4.862919998E1;4.941600323E1
2.056844447E0;-1.366400003E0;8.674200058E0;-4.882439804E1;4.960776794E1
2.066844447E0;-1.293200016E0;8.710800171E0;-4.884880066E1;4.963623406E1
2.076844447E0;-1.317600012E0;8.686399460E0;-4.890979767E1;4.969263440E1
2.086844447E0;-1.342000008E0;8.710800171E0;-4.894639969E1;4.973358067E1
2.096844447E0;-1.342000008E0;8.735199928E0;-4.890979767E1;4.970184091E1
2.106844447E0;-1.366400003E0;8.759599686E0;-4.887319946E1;4.967078881E1
2.116844447E0;-1.476199985E0;8.771800041E0;-4.876339722E1;4.956805978E1
2.126844447E0;-1.537199974E0;8.771800041E0;-4.855599976E1;4.936590495E1
2.136844447E0;-1.549399972E0;8.759599686E0;-4.843399811E1;4.924412046E1
2.146844447E0;-1.573799968E0;8.722999573E0;-4.829980087E1;4.910639808E1
2.156844447E0;-1.537199974E0;8.771800041E0;-4.827539825E1;4.908993315E1
2.166844447E0;-1.500599980E0;8.759599686E0;-4.815340042E1;4.896664537E1
2.176844447E0;-1.402999997E0;8.722999573E0;-4.837299728E1;4.917322439E1
2.186844447E0;-1.342000008E0;8.747400284E0;-4.847060013E1;4.927186877E1
2.196844447E0;-1.220000029E0;8.710800171E0;-4.866579819E1;4.945428549E1
2.206844447E0;-1.134599924E0;8.686399460E0;-4.872679901E1;4.950799728E1
2.216844447E0;-1.049199939E0;8.661999702E0;-4.875119781E1;4.952585535E1
2.226844447E0;-1.000399947E0;8.649800301E0;-4.884880066E1;4.961879857E1
2.236844447E0;-9.393999577E-1;8.661999702E0;-4.898299789E1;4.975185216E1
2.246844447E0;-9.149999619E-1;8.698599815E0;-4.930019760E1;5.007007437E1
2.256844447E0;-9.393999577E-1;8.759599686E0;-4.914159775E1;4.992504069E1
2.266844447E0;-1.012599945E0;8.747400284E0;-4.886100006E1;4.964815905E1
2.276844447E0;-1.110199928E0;8.808400154E0;-4.870240021E1;4.950499210E1
2.286844447E0;-1.183400035E0;8.820599556E0;-4.864139938E1;4.944885384E1
2.296844447E0;-1.293200016E0;8.881599426E0;-4.860479736E1;4.942652629E1
2.306844447E0;-1.378600001E0;8.881599426E0;-4.866579819E1;4.948881954E1
2.316844447E0;-1.476199985E0;8.845000267E0;-4.853160095E1;4.935311021E1
2.326844447E0;-1.549399972E0;8.832799911E0;-4.820219803E1;4.902928604E1
2.336844447E0;-1.512799978E0;8.796199799E0;-4.833639908E1;4.915352653E1
2.346844447E0;-1.476199985E0;8.832799911E0;-4.853160095E1;4.935092513E1
2.356844447E0;-1.415199995E0;8.832799911E0;-4.851939774E1;4.933713715E1
2.366844447E0;-1.451799989E0;8.857199669E0;-4.861700058E1;4.943855231E1
2.376844447E0;-1.378600001E0;8.857199669E0;-4.876339722E1;4.958043396E1
2.386844447E0;-1.402999997E0;8.881599426E0;-4.866579819E1;4.948950526E1
2.396844447E0;-1.427399993E0;8.942600250E0;-4.867799759E1;4.951318026E1
2.406844447E0;-1.463999987E0;8.918199539E0;-4.881219864E1;4.964180008E1
2.416844447E0;-1.537199974E0;8.954799652E0;-4.888539886E1;4.972256674E1
2.426844447E0;-1.537199974E0;8.918199539E0;-4.889759827E1;4.972798390E1
2.436844447E0;-1.524999976E0;8.942600250E0;-4.906839752E1;4.989993346E1
2.446844447E0;-1.402999997E0;8.942600250E0;-4.916600037E1;4.999234042E1
2.456844447E0;-1.366400003E0;9.003600121E0;-4.922699738E1;5.006225259E1
2.466844447E0;-1.305400014E0;9.027999878E0;-4.934899902E1;5.018498337E1
2.476844447E0;-1.281000018E0;8.930399895E0;-4.937339783E1;5.019088977E1
2.486844447E0;-1.244400024E0;8.918199539E0;-4.933679962E1;5.015179569E1
2.496844447E0;-1.281000018E0;8.820599556E0;-4.908060074E1;4.988335701E1
2.506844447E0;-1.366400003E0;8.796199799E0;-4.895859909E1;4.976127616E1
2.516844447E0;-1.476199985E0;8.735199928E0;-4.884880066E1;4.964562629E1
2.526844447E0;-1.561599970E0;8.722999573E0;-4.870240021E1;4.950205149E1
2.536844447E0;-1.671399951E0;8.649800301E0;-4.849499893E1;4.928871620E1
2.546844447E0;-1.707999945E0;8.625399590E0;-4.834859848E1;4.914164992E1
2.556844447E0;-1.659199953E0;8.661999702E0;-4.849499893E1;4.929044638E1
2.566844447E0;-1.598199964E0;8.710800171E0;-4.867799759E1;4.947706269E1
2.576844447E0;-1.488399982E0;8.735199928E0;-4.883659744E1;4.963398334E1
2.586844447E0;-1.451799989E0;8.722999573E0;-4.888539886E1;4.967877481E1
2.596844447E0;-1.476199985E0;8.722999573E0;-4.886100006E1;4.965548524E1
2.606844447E0;-1.549399972E0;8.710800171E0;-4.889759827E1;4.969158677E1
2.616844447E0;-1.524999976E0;8.735199928E0;-4.894639969E1;4.974313405E1
2.626844447E0;-1.561599970E0;8.771800041E0;-4.909280014E1;4.989475019E1
2.636844447E0;-1.549399972E0;8.759599686E0;-4.909280014E1;4.989222637E1
2.646844447E0;-1.622599959E0;8.710800171E0;-4.904399872E1;4.983798431E1
2.656844447E0;-1.720199943E0;8.759599686E0;-4.897079849E1;4.977779404E1
2.666844447E0;-1.732399940E0;8.832799911E0;-4.898299789E1;4.980314896E1
2.676844447E0;-1.598199964E0;8.845000267E0;-4.908060074E1;4.989682998E1
2.686844447E0;-1.451799989E0;8.845000267E0;-4.908060074E1;4.989235534E1
2.696844447E0;-1.378600001E0;8.820599556E0;-4.909280014E1;4.989796128E1
2.706844447E0;-1.293200016E0;8.796199799E0;-4.895859909E1;4.975931995E1
2.716844447E0;-1.329800010E0;8.820599556E0;-4.871459961E1;4.952457531E1
2.726844447E0;-1.293200016E0;8.808400154E0;-4.853160095E1;4.934142854E1
2.736844447E0;-1.171200037E0;8.771800041E0;-4.851939774E1;4.931985546E1
2.746844447E0;-1.073599935E0;8.686399460E0;-4.854380035E1;4.932653145E1
2.756844447E0;-1.073599935E0;8.613200188E0;-4.844619751E1;4.921761765E1
2.766844447E0;-1.073599935E0;8.625399590E0;-4.856819916E1;4.933984297E1
2.776844447E0;-1.024799943E0;8.686399460E0;-4.870240021E1;4.948158785E1
2.786844447E0;-1.000399947E0;8.637599945E0;-4.887319946E1;4.964069458E1
2.796844447E0;-9.271999598E-1;8.613200188E0;-4.899519730E1;4.975516330E1
2.806844447E0;-9.149999619E-1;8.637599945E0;-4.899519730E1;4.975916715E1
2.816844447E0;-1.012599945E0;8.710800171E0;-4.906839752E1;4.984587278E1
2.826844447E0;-1.110199928E0;8.783999443E0;-4.899519730E1;4.978875926E1
2.836844447E0;-1.195600033E0;8.869400024E0;-4.908060074E1;4.988988961E1
2.846844447E0;-1.329800010E0;8.869400024E0;-4.898299789E1;4.979727611E1
2.856844447E0;-1.402999997E0;8.881599426E0;-4.889759827E1;4.971746508E1
2.866844447E0;-1.500599980E0;8.930399895E0;-4.876339722E1;4.959710426E1
2.876844447E0;-1.634799957E0;8.967000008E0;-4.877560043E1;4.961994415E1
2.886844447E0;-1.683599949E0;8.967000008E0;-4.887319946E1;4.971751425E1
2.896844447E0;-1.720199943E0;8.906000137E0;-4.883659744E1;4.967181470E1
2.906844447E0;-1.756799936E0;8.881599426E0;-4.890979767E1;4.974070227E1
2.916844447E0;-1.756799936E0;8.845000267E0;-4.889759827E1;4.972218310E1
2.926844447E0;-1.659199953E0;8.808400154E0;-4.882439804E1;4.964033342E1
2.936844447E0;-1.707999945E0;8.710800171E0;-4.873899841E1;4.954074353E1
2.946844447E0;-1.695799947E0;8.649800301E0;-4.870240021E1;4.949362149E1
2.956844447E0;-1.695799947E0;8.600999832E0;-4.855599976E1;4.934103817E1
2.966844447E0;-1.671399951E0;8.527799606E0;-4.847060013E1;4.924343632E1
2.976844447E0;-1.646999955E0;8.527799606E0;-4.847060013E1;4.924261418E1
2.986844447E0;-1.598199964E0;8.503399849E0;-4.842179871E1;4.918874507E1
2.996844447E0;-1.573799968E0;8.430199623E0;-4.827539825E1;4.903120627E1
3.006844447E0;-1.622599959E0;8.393599510E0;-4.828759766E1;4.903853006E1
3.016844447E0;-1.622599959E0;8.356999397E0;-4.822660065E1;4.897220926E1
