"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.323430940E-1;4.938040972E-1;8.978256583E-2;9.811438560E0;9.824267404E0
2.343398650E-1;4.890156984E-1;8.499415964E-2;9.816226959E0;9.828767577E0
2.363366360E-1;5.129576921E-1;8.978256583E-2;9.816226959E0;9.830030428E0
2.383334070E-1;5.033808947E-1;8.499415964E-2;9.816226959E0;9.829492767E0
2.403301770E-1;4.938040972E-1;8.499415964E-2;9.821015358E0;9.833789156E0
2.423269480E-1;4.890156984E-1;1.041477770E-1;9.821015358E0;9.833734071E0
2.443237190E-1;5.081692934E-1;9.457096457E-2;9.811438560E0;9.825044851E0
2.463204900E-1;4.938040972E-1;9.935937077E-2;9.825803757E0;9.838705923E0
2.483172610E-1;4.890156984E-1;1.041477770E-1;9.821015358E0;9.833734071E0
2.503140320E-1;5.033808947E-1;9.457096457E-2;9.825803757E0;9.839144041E0
2.523108020E-1;4.938040972E-1;1.089361757E-1;9.830592155E0;9.843589371E0
2.543075730E-1;4.890156984E-1;1.041477770E-1;9.821015358E0;9.833734071E0
2.563043440E-1;4.890156984E-1;1.041477770E-1;9.825803757E0;9.838516279E0
2.583011150E-1;4.890156984E-1;9.935937077E-2;9.825803757E0;9.838466756E0
2.602978860E-1;4.985924959E-1;8.020575345E-2;9.816226959E0;9.829208470E0
2.622946570E-1;4.746504724E-1;9.935937077E-2;9.821015358E0;9.832980627E0
2.642914270E-1;5.033808947E-1;1.137245819E-1;9.801861763E0;9.815437821E0
2.662881980E-1;4.938040972E-1;9.935937077E-2;9.825803757E0;9.838705923E0
2.682849690E-1;4.985924959E-1;8.978256583E-2;9.821015358E0;9.834073319E0
2.702817400E-1;5.033808947E-1;8.978256583E-2;9.806650162E0;9.819971519E0
2.722785110E-1;4.938040972E-1;1.089361757E-1;9.830592155E0;9.843589371E0
2.742752820E-1;4.938040972E-1;8.978256583E-2;9.806650162E0;9.819485261E0
2.762720520E-1;4.890156984E-1;8.499415964E-2;9.830592155E0;9.843114471E0
2.782688230E-1;5.033808947E-1;1.041477770E-1;9.821015358E0;9.834458894E0
2.802655940E-1;4.890156984E-1;9.935937077E-2;9.825803757E0;9.838466756E0
2.822623650E-1;5.033808947E-1;9.457096457E-2;9.821015358E0;9.834362138E0
2.842590840E-1;5.129576921E-1;9.457096457E-2;9.816226959E0;9.830075329E0
2.862558020E-1;4.985924959E-1;9.457096457E-2;9.840168953E0;9.853246326E0
2.882525210E-1;4.842272997E-1;8.978256583E-2;9.825803757E0;9.838137855E0
2.902492400E-1;5.129576921E-1;1.041477770E-1;9.835380554E0;9.849298604E0
2.922459590E-1;4.985924959E-1;9.935937077E-2;9.825803757E0;9.838947415E0
