"Pos_1_1";"B_1_1";"Pos_1_2";"B_1_2";"Pos_1_3";"B_1_3";"Pos_05_1";"B_2_1";"Pos_05_2";"B_2_2";"Pos_05_3";"B_2_3"
0,2925;0,0012;0,1642;0,0029;0,2246;0,0024;0,2417;9,7783E-4;0,2509;8,0019E-4;0,3291;8,4048E-5
0,2931;0,0012;0,1645;0,0029;0,2251;0,0024;0,2422;9,6316E-4;0,2520;7,8051E-4;0,3303;8,0813E-5
0,2938;0,0012;0,1648;0,0029;0,2257;0,0024;0,2428;9,5218E-4;0,2530;7,6376E-4;0,3315;7,6846E-5
0,2946;0,0012;0,1651;0,0029;0,2263;0,0024;0,2435;9,3979E-4;0,2541;7,4313E-4;0,3326;7,8860E-5
0,2955;0,0011;0,1654;0,0029;0,2268;0,0023;0,2442;9,2702E-4;0,2551;7,2826E-4;0,3336;7,2244E-5
0,2964;0,0011;0,1657;0,0029;0,2274;0,0023;0,2451;9,0641E-4;0,2559;7,1623E-4;0,3348;6,7715E-5
0,2973;0,0011;0,1659;0,0029;0,2278;0,0023;0,2461;8,8812E-4;0,2567;7,0503E-4;0,3361;6,7117E-5
0,2982;0,0011;0,1663;0,0030;0,2282;0,0023;0,2472;8,6922E-4;0,2575;6,9126E-4;0,3376;6,1733E-5
0,2992;0,0010;0,1666;0,0030;0,2285;0,0023;0,2484;8,4818E-4;0,2583;6,7808E-4;0,3391;5,6021E-5
0,3002;0,0010;0,1669;0,0030;0,2288;0,0022;0,2497;8,2664E-4;0,2590;6,6610E-4;0,3406;5,6082E-5
0,3012;0,0010;0,1673;0,0030;0,2291;0,0022;0,2509;8,0264E-4;0,2599;6,5486E-4;0,3419;5,1296E-5
0,3022;9,7991E-4;0,1676;0,0030;0,2295;0,0022;0,2523;7,8169E-4;0,2607;6,4109E-4;0,3431;4,7451E-5
0,3033;9,5757E-4;0,1679;0,0030;0,2298;0,0022;0,2535;7,5878E-4;0,2616;6,2917E-4;0,3443;4,5937E-5
0,3043;9,3881E-4;0,1682;0,0030;0,2302;0,0022;0,2548;7,3789E-4;0,2624;6,1742E-4;0,3454;4,2996E-5
0,3053;9,1675E-4;0,1686;0,0030;0,2307;0,0022;0,2562;7,1125E-4;0,2632;6,0916E-4;0,3465;4,0664E-5
0,3062;8,9895E-4;0,1690;0,0031;0,2313;0,0021;0,2577;6,9519E-4;0,2641;5,9528E-4;0,3477;3,7942E-5
0,3072;8,7860E-4;0,1694;0,0031;0,2319;0,0021;0,2592;6,7503E-4;0,2650;5,8385E-4;0,3488;3,5098E-5
